"emp_no","title","first_name","last_name","from_date","to_date"
10095,"Senior Staff","Hilari","Morton","2000-03-09","9999-01-01"
10122,"Technique Leader","Ohad","Esposito","1998-08-06","9999-01-01"
10291,"Senior Staff","Dipayan","Seghrouchni","1994-03-30","9999-01-01"
10410,"Staff","Takahito","Gecsei","1993-10-16","1996-07-21"
10476,"Senior Staff","Kokou","Iisaka","1994-09-20","9999-01-01"
10480,"Staff","Make","Baba","1988-05-18","1989-06-03"
10663,"Technique Leader","Teunis","Noriega","1993-01-23","9999-01-01"
10762,"Senior Staff","Lech","Himler","1999-01-21","9999-01-01"
10933,"Senior Engineer","Juyoung","Seghrouchni","1993-08-02","9999-01-01"
11015,"Senior Staff","Jeanna","Riesenhuber","1998-03-14","2000-02-22"
11126,"Senior Staff","Hideo","Daescu","1999-02-25","2002-04-04"
11157,"Engineer","Mario","Cochrane","1985-03-30","1991-02-06"
11432,"Senior Engineer","Yongmao","Zwicker","1996-10-18","1997-09-13"
12155,"Senior Engineer","Keiichiro","Glinert","2001-09-16","9999-01-01"
12408,"Senior Engineer","Rasiah","Sudkamp","1995-04-18","9999-01-01"
12643,"Staff","Morrie","Schurmann","1998-12-31","9999-01-01"
13499,"Technique Leader","Kazuhiko","Sidou","1991-09-01","9999-01-01"
13957,"Senior Engineer","Angus","Chelton","1986-04-18","1987-02-02"
14075,"Engineer","Denny","Tchuente","1998-05-30","9999-01-01"
14104,"Senior Staff","Sudhanshu","Demian","1999-07-23","9999-01-01"
14127,"Senior Engineer","Magdalena","Cannard","2002-04-22","9999-01-01"
14158,"Senior Staff","Caolyn","Setiz","1996-02-06","9999-01-01"
14476,"Engineer","Sastry","Marrevee","1999-09-25","9999-01-01"
14551,"Senior Staff","Richard","Sinitsyn","1993-06-27","1993-09-16"
14907,"Senior Staff","Nakhoon","Luga","1994-12-18","9999-01-01"
15050,"Senior Engineer","Nikolaos","Kruskal","1996-12-16","9999-01-01"
15058,"Senior Staff","Bouchung","Bugrara","1998-06-18","9999-01-01"
15376,"Senior Staff","Geoff","Soicher","1996-08-14","2001-03-01"
15413,"Senior Engineer","Arvin","Rabejac","2002-01-01","9999-01-01"
16461,"Senior Staff","Remmert","Schahn","1994-09-06","9999-01-01"
16528,"Engineer","Gaurav","Swick","2001-05-07","9999-01-01"
17013,"Senior Staff","Morris","Garigliano","2000-05-23","9999-01-01"
17206,"Senior Engineer","Berry","DeMori","1998-12-27","9999-01-01"
17369,"Senior Engineer","Yaghout","Kenevan","1998-01-28","9999-01-01"
17447,"Staff","Zengping","Boreale","1998-12-16","9999-01-01"
17618,"Staff","Teiji","Picco","1992-09-17","1999-11-08"
17731,"Engineer","Gennady","Roison","1997-12-06","9999-01-01"
17799,"Engineer","Gro","Gini","1997-09-28","2001-07-11"
17970,"Technique Leader","Filipp","Carrere","1989-01-09","9999-01-01"
17988,"Senior Engineer","Mabhin","Calkin","1997-11-30","9999-01-01"
18021,"Senior Engineer","Adil","Matzke","1995-05-08","9999-01-01"
18187,"Staff","Denis","Falster","1998-12-21","1999-06-03"
18424,"Senior Engineer","Filipp","Rousseau","2002-06-07","9999-01-01"
18583,"Staff","Stafford","Honglei","1998-08-16","9999-01-01"
18617,"Senior Staff","Surveyors","Crouzet","1998-04-24","9999-01-01"
18810,"Senior Engineer","Taiji","Jarecki","1999-06-27","9999-01-01"
19236,"Senior Engineer","Elzbieta","Morris","1993-07-12","9999-01-01"
19350,"Senior Staff","Satoru","Yoshizawa","1999-03-27","9999-01-01"
19803,"Senior Engineer","Ziva","Kowalchuk","1992-06-12","9999-01-01"
20100,"Senior Staff","Utz","Heuter","1995-06-15","9999-01-01"
20128,"Senior Staff","Kazunori","Peak","1999-08-13","9999-01-01"
20129,"Senior Engineer","Rafael","Skafidas","2000-03-27","9999-01-01"
20248,"Staff","Vidar","Demri","1999-12-31","9999-01-01"
20313,"Engineer","Candida","Benveniste","1999-01-20","9999-01-01"
20500,"Senior Staff","Christoph","Trystram","1998-10-15","9999-01-01"
20712,"Engineer","Valeri","Escriba","1994-04-09","1998-05-02"
20720,"Senior Staff","Heejo","Brodie","1996-12-27","1997-05-17"
20885,"Senior Engineer","Otmar","Rothenberg","1996-03-14","9999-01-01"
21181,"Engineer","Jianhui","Cangellaris","1999-10-06","9999-01-01"
21188,"Engineer","Piyush","Danecki","2000-01-08","9999-01-01"
21534,"Staff","Alagu","Luders","1996-04-03","1997-12-14"
21546,"Senior Staff","Yongmin","Lanteri","1988-02-16","9999-01-01"
21843,"Senior Engineer","Karsten","Azadmanesh","1985-11-29","9999-01-01"
21909,"Senior Staff","Mohammed","Brizzi","1998-12-28","9999-01-01"
22027,"Staff","Sangeeta","Georg","1992-07-31","1998-03-14"
22185,"Engineer","Huai","Birch","2002-03-26","9999-01-01"
22415,"Senior Staff","Perla","Jumpertz","1994-08-24","9999-01-01"
22451,"Senior Staff","Jasminko","Bresenham","1996-12-15","9999-01-01"
22455,"Senior Staff","Barry","Unno","1999-11-16","9999-01-01"
22502,"Senior Engineer","Rutger","Binkley","1989-10-16","2001-11-02"
22926,"Senior Engineer","Manibrata","Genther","1996-01-15","9999-01-01"
23396,"Technique Leader","Hilari","Fairtlough","1986-12-15","9999-01-01"
24080,"Technique Leader","Jaana","Perez","1996-03-11","9999-01-01"
24189,"Staff","Abdelaziz","Atrawala","1993-03-28","1997-02-23"
24205,"Senior Engineer","Roddy","Rubsam","1993-09-19","9999-01-01"
24377,"Senior Engineer","Lubomir","Wroclawski","2000-07-25","9999-01-01"
24394,"Staff","Zhonghui","Conta","1994-09-10","9999-01-01"
24421,"Senior Engineer","Dannz","Grospietsch","1990-09-01","2000-10-12"
24553,"Senior Staff","Anwar","Passafiume","1994-01-30","9999-01-01"
24571,"Senior Engineer","Cordelia","Gischer","1995-03-14","9999-01-01"
25488,"Senior Staff","Ingmar","Basawa","1997-11-08","9999-01-01"
26476,"Staff","Bilhanan","Karcich","1996-04-09","1997-02-04"
26503,"Senior Staff","Shietung","Billingsley","1998-11-07","1998-12-02"
26617,"Engineer","Berto","Bruckman","1991-11-23","1994-03-27"
26629,"Senior Staff","Nevin","Rodham","1998-12-14","9999-01-01"
26671,"Senior Engineer","Jiakeng","Kalorkoti","2001-12-25","9999-01-01"
26788,"Senior Engineer","Zongyan","Dalphin","1993-04-23","9999-01-01"
27150,"Staff","Chenyi","Plump","1992-06-23","1995-05-22"
27331,"Senior Staff","Wanqing","Krohm","1999-01-22","9999-01-01"
27378,"Senior Staff","Piyawadee","Leppanen","1999-02-25","9999-01-01"
27620,"Senior Engineer","Shuji","Kandlur","1997-03-02","9999-01-01"
27686,"Senior Staff","Manu","Rosiles","1998-03-03","9999-01-01"
27699,"Engineer","Falguni","Pezzoli","1996-12-23","9999-01-01"
27767,"Senior Staff","Tooru","Veldwijk","2000-11-21","9999-01-01"
27970,"Technique Leader","KayLiang","Miyakawa","1995-11-22","2000-02-07"
28193,"Senior Engineer","Xinglin","Mitsuhashi","1997-12-14","9999-01-01"
28222,"Technique Leader","Mayuko","Vitiello","1993-12-22","1995-10-16"
28974,"Senior Engineer","Chenxi","Sundgren","1986-09-02","9999-01-01"
28988,"Technique Leader","Tua","Giveon","1998-09-09","9999-01-01"
29130,"Staff","Xumin","Thorensen","1998-04-26","9999-01-01"
29265,"Senior Staff","Gilbert","Calkin","1994-03-21","9999-01-01"
29380,"Assistant Engineer","Satoru","Vidal","1998-05-02","9999-01-01"
29418,"Assistant Engineer","Valery","Mersereau","1998-07-01","9999-01-01"
29679,"Senior Engineer","Kolar","Steenbeek","1986-10-18","9999-01-01"
29782,"Senior Engineer","Jouko","Hellwagner","1994-12-21","9999-01-01"
29954,"Senior Engineer","Pranay","Giarratana","1992-09-29","9999-01-01"
30007,"Senior Engineer","Kousuke","Vecchio","1999-02-23","9999-01-01"
30035,"Senior Staff","Tetsushi","Conta","1995-07-04","9999-01-01"
30154,"Technique Leader","Mayuko","Skafidas","1999-04-19","9999-01-01"
30182,"Senior Engineer","Leon","Potthoff","1993-12-08","9999-01-01"
30465,"Senior Engineer","Randi","Avouris","1991-07-16","9999-01-01"
30484,"Staff","Sailaja","Chvatal","1999-05-18","9999-01-01"
30552,"Senior Engineer","Yishai","Terlouw","1992-09-18","1999-01-07"
30695,"Senior Engineer","Gudjon","Majewski","1999-10-26","9999-01-01"
30938,"Senior Staff","Yakkov","Samarati","2000-05-22","9999-01-01"
31147,"Senior Staff","Divine","Sidhu","1989-07-05","9999-01-01"
31170,"Senior Staff","Tuval","Waleschkowski","1987-10-16","1988-12-14"
31188,"Technique Leader","Leandro","Gist","1993-02-03","9999-01-01"
31207,"Senior Engineer","Abdelwaheb","Dulin","1993-08-05","9999-01-01"
31341,"Senior Staff","Oksana","Zultner","1997-03-22","9999-01-01"
31514,"Senior Engineer","Harngdar","Schapire","2001-11-09","9999-01-01"
31568,"Staff","Mark","Lalonde","1996-11-24","9999-01-01"
31599,"Engineer","Qingxiang","Gewali","1997-09-22","1998-12-01"
31629,"Engineer","Toong","Veldwijk","1995-07-28","1996-04-26"
31909,"Engineer","Murthy","Peek","1994-07-19","9999-01-01"
32347,"Senior Staff","Terresa","Peres","1997-09-15","9999-01-01"
32552,"Engineer","Atreye","Stanger","1999-09-10","9999-01-01"
32622,"Staff","Piyush","Paciorek","1991-04-07","1991-08-07"
32649,"Senior Staff","Ingmar","Nannarelli","1988-06-10","9999-01-01"
32714,"Staff","Radoslaw","Maliniak","1997-11-17","9999-01-01"
32844,"Engineer","Tadahiko","Melton","1995-01-07","9999-01-01"
33025,"Senior Staff","Jessie","Thorelli","1999-12-16","9999-01-01"
33215,"Technique Leader","Steen","Fasbender","1993-02-14","9999-01-01"
33293,"Engineer","Adamantios","Vanwelkenhuysen","2000-01-11","2000-08-18"
33606,"Staff","Clyde","Swift","1994-11-14","1996-12-29"
33722,"Senior Engineer","Anwar","Collette","1994-03-22","9999-01-01"
34077,"Senior Staff","Angel","Sichman","1997-11-16","9999-01-01"
34261,"Senior Staff","Kyoichi","Callaway","1996-12-29","9999-01-01"
34446,"Senior Engineer","Chinhyun","Bauknecht","1986-12-19","9999-01-01"
34452,"Senior Engineer","Naftaly","Foong","2000-05-09","9999-01-01"
34505,"Senior Staff","Felicidad","Kumaresan","2001-09-06","9999-01-01"
34533,"Senior Engineer","Erzsebet","Shigei","1991-01-21","9999-01-01"
34780,"Staff","Moni","Kohling","1994-07-21","9999-01-01"
34788,"Senior Engineer","Ennio","Babu","1994-08-31","9999-01-01"
34936,"Technique Leader","Bokyung","Stamatiou","1991-02-12","9999-01-01"
35044,"Senior Engineer","Jiang","Waschkowski","1997-05-27","9999-01-01"
35087,"Senior Staff","Leif","Ashish","2001-10-14","9999-01-01"
35441,"Senior Engineer","Chandrasekaran","Peek","1993-02-06","9999-01-01"
35642,"Senior Engineer","Ashish","Talmon","2002-06-13","9999-01-01"
35793,"Senior Staff","Oscar","Kusalik","1996-05-10","9999-01-01"
35798,"Senior Engineer","Ulf","Oberman","1997-03-15","9999-01-01"
36521,"Senior Staff","Serif","Gladwell","1993-03-05","9999-01-01"
